Найден на шаге: 18
Энергетическая функция: 0.7312
(0, 0, 0)	(354, 386, 372)	XYZ
(354, 0, 0)	(390, 358, 276)	XZY
(354, 358, 0)	(379, 375, 248)	XYZ
(0, 0, 372)	(323, 365, 280)	XYZ
(0, 386, 0)	(306, 365, 295)	XYZ
(354, 0, 276)	(368, 263, 339)	XYZ
(354, 358, 248)	(367, 318, 266)	XYZ
(354, 733, 0)	(334, 286, 276)	XYZ
(0, 0, 652)	(305, 283, 304)	XYZ
(0, 386, 295)	(288, 306, 294)	XYZ
(0, 386, 589)	(286, 289, 285)	XYZ
(744, 0, 0)	(268, 322, 262)	XYZ
(0, 751, 0)	(306, 239, 306)	XYZ
(354, 358, 514)	(296, 285, 260)	XYZ
(354, 733, 276)	(268, 268, 302)	XYZ
(-1, -1, -1)	(293, 304, 240)	XYZ
(354, 733, 578)	(254, 265, 307)	YZX
(744, 0, 262)	(261, 306, 251)	ZYX
(744, 322, 0)	(232, 290, 293)	XYZ
(744, 0, 513)	(238, 274, 286)	XYZ
(354, 0, 615)	(287, 251, 254)	ZXY
(354, 358, 774)	(289, 253, 250)	XYZ
(-1, -1, -1)	(275, 304, 218)	XYZ
(-1, -1, -1)	(263, 289, 236)	XYZ
(-1, -1, -1)	(252, 254, 272)	XYZ
(-1, -1, -1)	(254, 285, 234)	XYZ
(0, 751, 306)	(277, 236, 257)	XYZ
(0, 751, 563)	(269, 208, 290)	XYZ
(-1, -1, -1)	(239, 290, 234)	XYZ
(-1, -1, -1)	(249, 240, 269)	XYZ
(-1, -1, -1)	(277, 238, 243)	XYZ
(-1, -1, -1)	(279, 225, 254)	XYZ
(-1, -1, -1)	(278, 262, 217)	XYZ
(-1, -1, -1)	(251, 222, 279)	XYZ
(-1, -1, -1)	(278, 226, 246)	YXZ
(-1, -1, -1)	(235, 217, 300)	XYZ
(744, 322, 293)	(226, 223, 303)	XYZ
(744, 612, 0)	(214, 307, 232)	XYZ
(-1, -1, -1)	(247, 244, 245)	XYZ
(-1, -1, -1)	(269, 251, 217)	XYZ
(-1, -1, -1)	(284, 223, 231)	XYZ
(744, 612, 232)	(214, 295, 222)	XYZ
(-1, -1, -1)	(238, 222, 253)	XYZ
(744, 612, 454)	(211, 283, 222)	XYZ
(-1, -1, -1)	(235, 234, 234)	XYZ
(744, 322, 596)	(215, 212, 281)	XYZ
(744, 0, 799)	(212, 205, 211)	XYZ
(744, 612, 676)	(154, 182, 178)	XYZ
(0, 751, 853)	(179, 182, 153)	XYZ
(-1, -1, -1)	(167, 180, 159)	XYZ
(-1, -1, -1)	(166, 167, 163)	XYZ
(-1, -1, -1)	(151, 159, 183)	XYZ
(-1, -1, -1)	(184, 142, 165)	XYZ
(-1, -1, -1)	(150, 155, 182)	XYZ
(744, 612, 854)	(153, 152, 170)	XYZ
(-1, -1, -1)	(176, 127, 174)	ZYX
(0, 386, 874)	(161, 179, 133)	XYZ
(-1, -1, -1)	(120, 181, 176)	XYZ
(354, 0, 869)	(168, 168, 133)	XYZ
(-1, -1, -1)	(158, 129, 181)	ZXY
(-1, -1, -1)	(174, 134, 155)	XYZ
(-1, -1, -1)	(174, 125, 163)	XYZ
(744, 322, 877)	(147, 163, 147)	XYZ
(-1, -1, -1)	(163, 132, 162)	XYZ
(-1, -1, -1)	(141, 147, 166)	XYZ
(354, 733, 885)	(178, 164, 117)	XYZ
(-1, -1, -1)	(129, 176, 143)	XYZ
(-1, -1, -1)	(137, 183, 126)	XYZ
(-1, -1, -1)	(166, 119, 158)	XYZ
(-1, -1, -1)	(183, 144, 114)	XYZ
(-1, -1, -1)	(96, 182, 171)	XYZ
(-1, -1, -1)	(175, 148, 115)	XYZ
(-1, -1, -1)	(167, 157, 112)	XYZ
(-1, -1, -1)	(91, 175, 183)	XYZ
(-1, -1, -1)	(135, 165, 130)	XYZ
(-1, -1, -1)	(158, 160, 114)	XYZ
(-1, -1, -1)	(114, 140, 173)	XYZ
(-1, -1, -1)	(155, 134, 130)	XYZ
(-1, -1, -1)	(139, 109, 178)	XYZ
(-1, -1, -1)	(170, 148, 105)	XYZ
(-1, -1, -1)	(155, 132, 129)	XYZ
(161, 386, 874)	(107, 178, 136)	XYZ
(354, 263, 276)	(172, 88, 168)	XYZ
(-1, -1, -1)	(102, 151, 165)	XYZ
(-1, -1, -1)	(121, 173, 121)	XYZ
(744, 919, 0)	(158, 97, 165)	XYZ
(-1, -1, -1)	(124, 174, 116)	XYZ
(-1, -1, -1)	(122, 151, 135)	XYZ
(-1, -1, -1)	(120, 117, 177)	ZXY
(522, 0, 869)	(100, 163, 152)	XYZ
(-1, -1, -1)	(99, 154, 161)	XYZ
(-1, -1, -1)	(154, 184, 85)	XYZ
(-1, -1, -1)	(161, 165, 90)	XYZ
(-1, -1, -1)	(118, 138, 145)	XYZ
(-1, -1, -1)	(121, 140, 139)	XYZ
(744, 919, 165)	(156, 97, 154)	XYZ
(-1, -1, -1)	(146, 130, 122)	XYZ
(526, 263, 276)	(166, 84, 165)	XYZ
(-1, -1, -1)	(126, 123, 148)	XYZ
(-1, -1, -1)	(116, 184, 107)	XYZ
(-1, -1, -1)	(127, 143, 125)	XYZ
(-1, -1, -1)	(100, 156, 145)	XYZ
(-1, -1, -1)	(158, 169, 84)	XYZ
(744, 794, 676)	(122, 100, 183)	XYZ
(-1, -1, -1)	(121, 166, 110)	XYZ
(-1, -1, -1)	(132, 149, 112)	XYZ
(-1, -1, -1)	(154, 173, 82)	XYZ
(-1, -1, -1)	(132, 127, 130)	XYZ
(0, 565, 874)	(154, 108, 129)	XYZ
(-1, -1, -1)	(132, 180, 90)	ZXY
(354, 897, 885)	(170, 98, 128)	XYZ
(-1, -1, -1)	(114, 162, 111)	XYZ
(-1, -1, -1)	(135, 125, 120)	XYZ
(-1, -1, -1)	(146, 110, 122)	XYZ
(354, 263, 444)	(138, 88, 161)	XYZ
(-1, -1, -1)	(128, 168, 89)	XYZ
(-1, -1, -1)	(93, 127, 161)	XYZ
(0, 283, 652)	(163, 81, 143)	XYZ
(-1, -1, -1)	(169, 93, 119)	XYZ
(-1, -1, -1)	(108, 164, 105)	XYZ
(163, 283, 652)	(140, 75, 177)	XYZ
(-1, -1, -1)	(158, 100, 116)	XYZ
(-1, -1, -1)	(171, 107, 100)	XYZ
(-1, -1, -1)	(126, 139, 104)	XYZ
(-1, -1, -1)	(104, 147, 117)	XYZ
(-1, -1, -1)	(182, 113, 86)	XYZ
(744, 919, 319)	(148, 96, 124)	XYZ
(0, 0, 956)	(152, 166, 68)	XYZ
(-1, -1, -1)	(94, 161, 111)	XYZ
(-1, -1, -1)	(135, 158, 78)	XYZ
(0, 692, 295)	(167, 59, 168)	XYZ
(-1, -1, -1)	(91, 162, 112)	XYZ
(0, 283, 795)	(126, 81, 161)	XYZ
(-1, -1, -1)	(116, 136, 103)	XYZ
(-1, -1, -1)	(92, 119, 148)	XYZ
(179, 751, 853)	(82, 117, 168)	XYZ
(354, 168, 869)	(142, 79, 142)	XYZ
(-1, -1, -1)	(180, 97, 91)	XYZ
(-1, -1, -1)	(159, 178, 56)	XYZ
(-1, -1, -1)	(184, 140, 61)	XYZ
(-1, -1, -1)	(92, 166, 102)	XYZ
(354, 676, 248)	(175, 56, 157)	XYZ
(529, 676, 248)	(184, 52, 159)	XYZ
(641, 0, 615)	(70, 134, 160)	XYZ
(-1, -1, -1)	(120, 164, 75)	XYZ
(744, 919, 443)	(147, 88, 112)	XYZ
(163, 283, 829)	(111, 74, 176)	XYZ
(-1, -1, -1)	(154, 136, 69)	ZYX
(-1, -1, -1)	(92, 173, 90)	XYZ
(-1, -1, -1)	(75, 117, 163)	XYZ
(152, 0, 956)	(141, 183, 55)	XYZ
(526, 263, 441)	(161, 61, 144)	XYZ
(-1, -1, -1)	(153, 114, 81)	XYZ
(532, 733, 885)	(76, 145, 126)	XYZ
(650, 358, 514)	(69, 146, 137)	XYZ
(-1, -1, -1)	(115, 149, 80)	XYZ
(-1, -1, -1)	(180, 110, 69)	XYZ
(-1, -1, -1)	(130, 128, 82)	XYZ
(744, 205, 799)	(164, 68, 121)	XYZ
(354, 263, 605)	(86, 86, 182)	XYZ
(622, 733, 276)	(55, 176, 139)	XYZ
(744, 794, 859)	(112, 100, 120)	XYZ
(161, 564, 874)	(107, 90, 136)	XYZ
(-1, -1, -1)	(74, 97, 181)	XYZ
(641, 0, 775)	(63, 121, 167)	XYZ
(744, 545, 293)	(184, 57, 119)	XYZ
(-1, -1, -1)	(93, 135, 99)	XYZ
(650, 504, 514)	(63, 160, 122)	XYZ
(641, 134, 615)	(64, 127, 151)	XYZ
(-1, -1, -1)	(71, 172, 100)	XYZ
(-1, -1, -1)	(163, 107, 70)	XYZ
(650, 504, 636)	(62, 160, 122)	XYZ
(-1, -1, -1)	(177, 72, 94)	XYZ
(-1, -1, -1)	(145, 112, 73)	XYZ
(-1, -1, -1)	(124, 115, 83)	XYZ
(641, 134, 766)	(62, 124, 148)	XYZ
(-1, -1, -1)	(162, 62, 111)	XYZ
(-1, -1, -1)	(111, 95, 101)	XYZ
(-1, -1, -1)	(72, 141, 101)	XYZ
(-1, -1, -1)	(83, 122, 99)	XYZ
(-1, -1, -1)	(85, 101, 115)	XYZ
(179, 868, 853)	(77, 89, 142)	XYZ
(650, 358, 651)	(65, 96, 155)	XYZ
(532, 878, 885)	(64, 116, 128)	XYZ
(-1, -1, -1)	(105, 94, 96)	XYZ
(891, 322, 877)	(58, 166, 98)	XZY
(-1, -1, -1)	(75, 160, 78)	XYZ
(-1, -1, -1)	(87, 139, 77)	XYZ
(-1, -1, -1)	(76, 103, 118)	XYZ
(898, 612, 676)	(56, 179, 92)	XYZ
(744, 919, 555)	(131, 73, 96)	XYZ
(-1, -1, -1)	(140, 119, 55)	XYZ
(-1, -1, -1)	(167, 83, 66)	XYZ
(-1, -1, -1)	(154, 74, 80)	XYZ
(-1, -1, -1)	(82, 118, 94)	XYZ
(-1, -1, -1)	(111, 76, 107)	XYZ
(744, 919, 651)	(113, 67, 117)	XYZ
(-1, -1, -1)	(80, 106, 104)	XYZ
(744, 919, 768)	(88, 62, 161)	XYZ
(-1, -1, -1)	(88, 121, 81)	XYZ
(650, 358, 806)	(56, 87, 176)	XYZ
(622, 733, 415)	(54, 157, 101)	XYZ
(522, 163, 869)	(96, 69, 126)	XYZ
(-1, -1, -1)	(99, 85, 99)	XZY
(-1, -1, -1)	(104, 81, 98)	XYZ
(0, 166, 956)	(115, 111, 64)	YXZ
(-1, -1, -1)	(146, 78, 71)	ZYX
(650, 504, 758)	(59, 134, 102)	XYZ
(-1, -1, -1)	(182, 63, 67)	XYZ
(-1, -1, -1)	(92, 151, 55)	XYZ
(-1, -1, -1)	(140, 79, 69)	XYZ
(-1, -1, -1)	(89, 101, 84)	XYZ
(-1, -1, -1)	(91, 72, 115)	XYZ
(-1, -1, -1)	(91, 62, 132)	XYZ
(152, 183, 956)	(141, 82, 63)	XYZ
(-1, -1, -1)	(104, 101, 69)	XYZ
(-1, -1, -1)	(78, 90, 101)	XYZ
(167, 692, 295)	(96, 54, 129)	XYZ
(354, 263, 787)	(85, 71, 108)	XYZ
(-1, -1, -1)	(63, 168, 60)	XYZ
(-1, -1, -1)	(72, 81, 105)	XYZ
(-1, -1, -1)	(62, 171, 57)	XYZ
(-1, -1, -1)	(90, 89, 75)	XYZ
(-1, -1, -1)	(94, 82, 77)	XYZ
(-1, -1, -1)	(94, 72, 85)	XYZ
(641, 134, 914)	(59, 105, 92)	XYZ
(-1, -1, -1)	(60, 131, 70)	XYZ
(-1, -1, -1)	(80, 101, 67)	XYZ
(-1, -1, -1)	(75, 134, 53)	XYZ
(-1, -1, -1)	(62, 90, 95)	XYZ
(-1, -1, -1)	(54, 185, 53)	XYZ
(-1, -1, -1)	(86, 111, 55)	ZYX
(-1, -1, -1)	(81, 75, 86)	XYZ
(0, 283, 956)	(116, 79, 56)	XYZ
(440, 263, 605)	(52, 83, 116)	XYZ
(0, 692, 463)	(151, 57, 57)	XYZ
(-1, -1, -1)	(99, 76, 65)	XYZ
(-1, -1, -1)	(58, 147, 57)	XYZ
(-1, -1, -1)	(111, 69, 57)	XYZ
(-1, -1, -1)	(97, 69, 64)	XYZ
(354, 263, 895)	(64, 64, 104)	XYZ
(744, 205, 920)	(91, 67, 68)	XYZ
(526, 263, 585)	(119, 59, 59)	XYZ
(0, 692, 520)	(150, 52, 53)	XYZ
(650, 504, 860)	(58, 79, 86)	XYZ
(-1, -1, -1)	(74, 64, 79)	XYZ
(354, 676, 405)	(66, 56, 99)	XYZ
(641, 0, 942)	(60, 94, 54)	XYZ
(167, 692, 424)	(52, 54, 103)	XYZ
(420, 676, 405)	(75, 56, 65)	XYZ
